brandname,details,sizes,mrp,sellprice,discount,category
Solethreads,active ortho durable sturdy light comfortable shock absorbent womens flip flops - brown,"Size:4,5,6,7,8",0.0,999,Nan,Footwear-Women
Catwalk,pu round toe womens party wear sandals - brown,"Size:5,6,7",2895.0,2316,20% ,Footwear-Women
Inc.5,tpr open back womens party flats - brown,Size:5,1890.0,945,50% ,Footwear-Women
Ceriz,synthetic square toe womens casual ballerinas - natural,"Size:36,37",1999.0,999,50% ,Footwear-Women
Reebok,textile slipon womens sports shoes - grey,"Size:8.5,9.5",2799.0,1399,50% ,Footwear-Women
Signature Sole,synthetic buckle womens casual sandals - white,"Size:37,39",2100.0,1680,20% ,Footwear-Women
Shoetopia,synthetic womens casual slides - blue,"Size:36,37,38,39,40",0.0,499,Nan,Footwear-Women
Estatos,womens casual wear slip on ballerinas - black,"Size:39,40,41",1399.0,909,35% ,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual sandals - dark gun metal,"Size:36,38,39,40,41",2799.0,2379,15% ,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - wine,"Size:36,37,38,39,40",2999.0,2399,20% ,Footwear-Women
Modare,pu slip on round toe womens casual sandals - natural,"Size:36,37,38,39,40",3799.0,2659,30% ,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - peach,"Size:36,37,38,39,40,41",0.0,2499,Nan,Footwear-Women
Puma,mesh lace up mens closed shoes - white,Size:8,0.0,5499,Nan,Footwear-Women
Tresmode,synthetic leather slip on womens casual sandals - natural,"Size:37,38",5000.0,2500,50% ,Footwear-Women
Lemon & Pepper,pu ankle loop womens party block heel sandals - gold,"Size:36,37,38,39,40,41",3299.0,2474,25% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - gold,"Size:35,36,37,38",1700.0,1275,25% ,Footwear-Women
Catwalk,patent lace up womens formal mules - black,"Size:4,5,6,7,8,9",3895.0,3116,20% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic sandals - gold,"Size:35,36,37,39,40",3000.0,2250,25% ,Footwear-Women
Skechers,womens flat knit sports shoes - rose,Size:6,6999.0,4199,40% ,Footwear-Women
Modare,polyurethane slipon womens casual flats - gold,"Size:36,37,38,39,40,41",0.0,3499,Nan,Footwear-Women
W,polyurethane slipon womens casual wear sandals - natural,"Size:35,36,37,38,39,40,41,42",0.0,2599,Nan,Footwear-Women
W,polyurethane womens casual wear sandals - orange,"Size:35,36,37,38,39,40,41,42",2299.0,1379,40% ,Footwear-Women
Guess,womens casual wear lace up sneakers - pink,Size:9,4999.0,2499,50% ,Footwear-Women
Monrow,polyurethane buckle womens party sandals - green,Size:37,2299.0,1310,43% ,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - natural,"Size:36,37,38,39,40",2999.0,2399,20% ,Footwear-Women
Puma,synthetic lace up womens casual shoes - black,"Size:3,4,5,6,7",0.0,2999,Nan,Footwear-Women
Modare,polyurethane slipon womens casual flats - natural,"Size:36,37,38,39,40,41",0.0,3499,Nan,Footwear-Women
Haute Curry,womens casual wear buckle closure heels - gold,"Size:36,37,39,40",2499.0,1249,50% ,Footwear-Women
Reebok,womens lace up sports shoes - blue,Size:6.5,3999.0,1999,50% ,Footwear-Women
Flipside,womens jessica rubber casual flip flops - pink,"Size:4,5,6",0.0,399,Nan,Footwear-Women
Estatos,womens casual wear buckle closure heels - red,Size:37,1599.0,799,50% ,Footwear-Women
Haute Curry,womens casual wear slip on flats - antique,Size:36,0.0,1699,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - gold,"Size:35,36,37,38,39,40,41",1995.0,899,55% ,Footwear-Women
Shoetopia,suede womens casual sandals - black,"Size:36,38",999.0,799,20% ,Footwear-Women
Estatos,womens casual wear slipon ballerinas - gold,Size:40,1499.0,974,35% ,Footwear-Women
Inc.5,pu open back womens party heels - tan,Size:5,1890.0,945,50% ,Footwear-Women
Monrow,rubber slip on womens casual ballerinas - natural,Size:39,2999.0,989,67% ,Footwear-Women
Puma,textile low boot laces unisex sports shoes - black,Size:8,0.0,5999,Nan,Footwear-Women
Von Wellx,synthetic slipon womens casual wear slippers - blue,"Size:3,4",0.0,2999,Nan,Footwear-Women
Puma,smash v2 buck unisex sneakers - blue,Size:6,0.0,3499,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - pink,"Size:36,37,40,41",799.0,499,38% ,Footwear-Women
Modare,pu buckle womens casual sandals - black,"Size:36,37,39,40",3999.0,2799,30% ,Footwear-Women
Skechers,knit slip on womens casual shoes - burgundy,"Size:6,7,8,9,10",5999.0,2999,50% ,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - rose gold,"Size:36,37,38,39,40",3299.0,2969,10% ,Footwear-Women
Puma,rs-x³ twill air mesh casual shoes - white,"Size:3,4,5,6",0.0,9999,Nan,Footwear-Women
Modare,pu slip on womens casual ballerinas - black,"Size:36,37,38,40",3999.0,2799,30% ,Footwear-Women
Tresmode,synthetic leather slip on womens casual wedges - pewter,"Size:35,36,37,38,39,40",0.0,5000,Nan,Footwear-Women
Catwalk,synthetic slipon womens casual wear ballerinas - green,"Size:5,6,7",2695.0,1347,50% ,Footwear-Women
Clarks,leather slip on womens casual sandals - brown,"Size:4,5,6,7,8",6999.0,5599,20% ,Footwear-Women
Haute Curry,womens casual wear slipon flats - pink,"Size:36,37,38",1699.0,849,50% ,Footwear-Women
Solethreads,synthetic slip on womens casual wear flats - red,"Size:4,5,6,7,8",0.0,499,Nan,Footwear-Women
Puma,leadcat ftr synthetic unisex casual slides - black,"Size:3,4,5,6",0.0,2499,Nan,Footwear-Women
Puma,textile slip on womens sneakers - black,"Size:3,4,5,6,7",0.0,3999,Nan,Footwear-Women
W,polyurethane slipon womens formal wear flats - ecru,"Size:36,37,38,39,40,41,42",0.0,1049,Nan,Footwear-Women
Puma,textile elastic womens sports shoes - pink,"Size:3,4,5,6,7",0.0,5499,Nan,Footwear-Women
Puma,textile elastic womens sports shoes - black,"Size:3,4,5,6,7,8",0.0,5499,Nan,Footwear-Women
Estatos,womens casual wear lace up sneakers - black,"Size:36,37,39,40",1299.0,649,50% ,Footwear-Women
Estatos,womens casual wear tie up flats - black,"Size:38,39",1499.0,974,35% ,Footwear-Women
Estatos,womens party wear buckle closure heels - pink,"Size:39,40,41",2699.0,1349,50% ,Footwear-Women
Estatos,womens casual wear slip on wedges - white,Size:40,1599.0,1039,35% ,Footwear-Women
Estatos,womens casual wear slip on heeled sandals - blue,Size:39,1699.0,1019,40% ,Footwear-Women
Reebok,womens lace up sports shoe - pink,Size:8.5,4999.0,2499,50% ,Footwear-Women
Von Wellx,pvc slipon womens casual wear slippers - blue,"Size:36,37,38",0.0,2999,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - blue,"Size:36,37,38,39,40",999.0,699,30% ,Footwear-Women
Shoetopia,synthetic womens casual slides - blue,"Size:36,37,39,41",699.0,499,29% ,Footwear-Women
Puma,radiate xt wn's mesh lace up womens sport shoes - white,"Size:3,4,5,6,7",0.0,3999,Nan,Footwear-Women
Clarks,leather slip on womens casual sandals - navy,"Size:4,5,6,7,8",0.0,5499,Nan,Footwear-Women
Tresmode,synthetic leather slip on womens casual wear flats - grey,"Size:36,37,38,39,40",0.0,4500,Nan,Footwear-Women
Von Wellx,synthetic slipon round toe womens casual wear shoes - metallic blue,"Size:3,4,5,6,7,8",0.0,2599,Nan,Footwear-Women
Catwalk,fabric tie up womens athleisure sneakers - pink,"Size:5,6,7",3095.0,2476,20% ,Footwear-Women
Clarks,leather slip on womens casual pumps - pink,"Size:4,5,6,7,8",0.0,5999,Nan,Footwear-Women
Lazera Shoes,fabric zipper womens casual boots - brown,"Size:36,37,38,39,40",0.0,3695,Nan,Footwear-Women
Signature Sole,synthetic slipon womens ethnic sandals - gold,"Size:37,38,39,40,41",3100.0,2170,30% ,Footwear-Women
Modare,womens casual wear slipon flats - navy,Size:35,1999.0,799,60% ,Footwear-Women
Modare,polyurethane slipon womens casual slides - sea green,"Size:36,37,38,39,40,41",0.0,3499,Nan,Footwear-Women
Skechers,knit empire d lux - sharp witted womens casual shoes - navy,"Size:6,7,8,9,10",5999.0,3599,40% ,Footwear-Women
Puma,royal challengers bangalore unisex idp flip flops - mixed brights,"Size:6,7",0.0,799,Nan,Footwear-Women
W,polyurethane slipon womens casual wear sandals - natural,Size:36,0.0,2999,Nan,Footwear-Women
Lemon & Pepper,womens party wear buckle closure heels - orange,"Size:36,37,38,39,40",3999.0,1999,50% ,Footwear-Women
Guess,womens casual wear slipon flats - white,"Size:5,6,7,8,9,10",2999.0,1499,50% ,Footwear-Women
Modare,pu slip on womens casual flip flops - pink,"Size:36,37",3499.0,2799,20% ,Footwear-Women
Ceriz,polyurethane round toe womens sneakers - navy,"Size:35,36,37,38,39,40,41",2499.0,1749,30% ,Footwear-Women
Ceriz,synthetic open toe womens casual sandals - navy,Size:37,2299.0,1149,50% ,Footwear-Women
Tresmode,leather slip on womens formal ballerinas - black,"Size:36,37,38,39,40",0.0,4595,Nan,Footwear-Women
Tresmode,221-bow leather slipon womens casual flats - champagne,"Size:36,37,38,39,40,41",0.0,3200,Nan,Footwear-Women
Reebok,pu lace up womens sports shoes - pink,Size:9.5,2799.0,1399,50% ,Footwear-Women
Solethreads,yoga v shape comfortable plant based sole womens flip flops - navy,"Size:4,5,6,7,8,9",0.0,999,Nan,Footwear-Women
Shoetopia,synthetic womens casual slides - green,"Size:36,37,38,40",999.0,499,50% ,Footwear-Women
Von Wellx,karl synthetic slipon womens casual slippers - black,"Size:37,38,39,40",0.0,3199,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - grey,"Size:36,37,38,39,40,41",999.0,499,50% ,Footwear-Women
Shoetopia,synthetic womens casual slides - peach,"Size:36,37,38,40",999.0,499,50% ,Footwear-Women
Estatos,womens casual wear slip on flats - yellow,"Size:36,37",1499.0,749,50% ,Footwear-Women
Haute Curry,womens casual wear slip on heels - black,"Size:36,37,38,39,40",2499.0,1249,50% ,Footwear-Women
Estatos,womens casual wear buckle closure flats - teal,"Size:36,37,38,39,40",999.0,599,40% ,Footwear-Women
Modare,pu slip on womens casual sneakers - gold,"Size:36,40",4999.0,3499,30% ,Footwear-Women
Ceriz,artificial leather womens ballerinas - natural,Size:36,1799.0,899,50% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - black,"Size:36,37",999.0,799,20% ,Footwear-Women
Modare,pu slip on womens casual ballerinas - black,"Size:36,39,40",4999.0,3499,30% ,Footwear-Women
Tresmode,leather slip on womens casual flats - white,"Size:36,37,38,39,40",2799.0,1399,50% ,Footwear-Women
Tresmode,221-briming synthetic leather slipon womens casual sliponn sandals - silver grey,"Size:36,37,38,39",0.0,6900,Nan,Footwear-Women
Lazera Shoes,fabric slip on womens casual flats - antique,"Size:36,37,38,39,40,41",0.0,1695,Nan,Footwear-Women
Lemon & Pepper,womens casual wear slipon heels - black,"Size:36,40",3999.0,1999,50% ,Footwear-Women
Lemon & Pepper,womens casual wear slipon heels - black,"Size:36,37,38,39,40",3499.0,1749,50% ,Footwear-Women
Haute Curry,synthetic slipon womens casual wear pumps - black,"Size:40,41",0.0,2999,Nan,Footwear-Women
Clarks,leather lace up womens casual pumps - natural,"Size:4,5,6,7,8",8499.0,5099,40% ,Footwear-Women
Adidas,textile lace up womens sports shoes - blue,"Size:9,10,11",0.0,3599,Nan,Footwear-Women
Skechers,mesh slip on strapless womens casual shoes - grey,"Size:6,7,8,9,10",5499.0,3299,40% ,Footwear-Women
Lazera Shoes,fabric round toe slipon womens sandals - gunmetal,"Size:36,37,38,39,40,41",0.0,2599,Nan,Footwear-Women
Catwalk,raffia slipon womens work wear ballerinas - natural,"Size:4,5,6,7,8,9",2795.0,2236,20% ,Footwear-Women
Puma,mesh regular lace up mens sports shoes - black,"Size:7,8,9,10,11",0.0,5999,Nan,Footwear-Women
Lazera Shoes,fabric slipon womens ethnic sandals - antique,"Size:36,37,38,39,40,41",0.0,2499,Nan,Footwear-Women
Ceriz,synthetic open toe womens casual flats - bronze,"Size:36,37,38,40",1499.0,749,50% ,Footwear-Women
Lemon & Pepper,pu back strap womens casual block heel sandals - black,"Size:36,37,38,39,40",2799.0,1959,30% ,Footwear-Women
Catwalk,synthetic slipon womens casual wear ballerinas - stone,"Size:4,5,6,7,8",2795.0,2236,20% ,Footwear-Women
Lemon & Pepper,womens casual wear slip on wedges - mustard,"Size:37,40",2499.0,1249,50% ,Footwear-Women
Inc.5,womens casual wear buckle closure flats - gunmetal,"Size:5,6",1890.0,661,65% ,Footwear-Women
Catwalk,pu almond shape womens casual wear sandals - brown,"Size:5,6,7",2295.0,1836,20% ,Footwear-Women
Monrow,pu slip on womens party wear sandals - green,"Size:36,37,38,39,40,41",0.0,2899,Nan,Footwear-Women
Monrow,pu slipon womens party wear sandals - white,Size:40,0.0,2799,Nan,Footwear-Women
Ceriz,artificial leather womens ballerinas - navy,"Size:36,37",1799.0,899,50% ,Footwear-Women
Shoetopia,synthetic womens casual slides - red,"Size:36,37,38,39,40",0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual flats - pink,"Size:36,37,38,39,40,41",999.0,599,40% ,Footwear-Women
Shoetopia,synthetic womens casual slides - blue,"Size:36,40",0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual slides - green,"Size:36,37,38",999.0,499,50% ,Footwear-Women
Catwalk,fabric slipon womens work wear wedges - black,"Size:4,5,6,7,8,9",2395.0,1916,20% ,Footwear-Women
Adidas,lace up womens sports shoes - pink,"Size:4,5,6,7",0.0,4999,Nan,Footwear-Women
W,polyurethane buckle womens party wear sandals - off white,"Size:36,37,38,40",0.0,1599,Nan,Footwear-Women
Lazera Shoes,synthetic slip on womens casual sandals - gunmetal,"Size:37,38,39,40",0.0,1895,Nan,Footwear-Women
Lazera Shoes,fabric slipon womens casual sandals - gunmetal,"Size:36,37,38,39,40,41",0.0,1795,Nan,Footwear-Women
Modare,polyurethane slipon womens casual loafers - natural,"Size:36,37,38,39,40,41",0.0,3499,Nan,Footwear-Women
Modare,pu slip on round toe womens formal ballerinas - black,"Size:36,37,38,39,40",4499.0,3149,30% ,Footwear-Women
Adidas,adilette comfort fabric low tops slipon womens sport sandals - black,"Size:4,5,6,7",0.0,3999,Nan,Footwear-Women
Lemon & Pepper,womens party wear slipon heels - black,"Size:36,37,38,39,40,41",3799.0,1899,50% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure flats - maroon,"Size:36,37,38,39,40",2799.0,1399,50% ,Footwear-Women
Puma,textile lace up womens sports shoes - pink,"Size:4,5,6,7",0.0,5499,Nan,Footwear-Women
Skechers,knit slip on womens casual shoes - navy,"Size:6,7,8,9,10",0.0,6499,Nan,Footwear-Women
Puma,textile lace up womens sports shoes - blue,"Size:3,4,5,6,7",0.0,6499,Nan,Footwear-Women
Ceriz,synthetic open toe womens casual sandals - taupe,Size:35,2399.0,1199,50% ,Footwear-Women
Catwalk,suede slipon womens casual wear loafers - turquoise,"Size:5,6,7",3095.0,1547,50% ,Footwear-Women
Puma,synthetic lace up womens casual shoes - red,"Size:3,4,5,6,7",0.0,1799,Nan,Footwear-Women
Adidas,fabric lace up womens sports shoes - indigo,"Size:4,5,6,7",0.0,5999,Nan,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - rose gold,"Size:36,37,38,39,40,41",0.0,3299,Nan,Footwear-Women
Lazera Shoes,suede round toe slipon womens sandals - black,"Size:36,37,38,39,40,41",0.0,1999,Nan,Footwear-Women
Flipside,womens vintage rubber casual flip flops - white,"Size:5,6,7",0.0,399,Nan,Footwear-Women
Catwalk,synthetic slipon womens casual wear flip flops - black,"Size:5,6,7",2895.0,2316,20% ,Footwear-Women
Lemon & Pepper,womens casual wear slipon heels - gunmetal,"Size:37,38,39,40",3499.0,1749,50% ,Footwear-Women
Catwalk,fabric buckle womens party mules - brown,"Size:4,5,6,7,8",3295.0,1647,50% ,Footwear-Women
Inc.5,tpr open back womens party flats - tan,"Size:5,6,7,8,9,10,11,12",1890.0,1190,37% ,Footwear-Women
Estatos,womens casual wear buckle closure wedges - cream,Size:41,1799.0,899,50% ,Footwear-Women
Solethreads,yoga v shape comfortable plant based sole womens flip flops - black,"Size:4,5,6,7,8,9",0.0,999,Nan,Footwear-Women
Shoetopia,suede womens casual sandals - yellow,"Size:36,40,41",999.0,799,20% ,Footwear-Women
Shoetopia,synthetic womens casual slides - grey,"Size:36,37,38,39,40",0.0,499,Nan,Footwear-Women
Estatos,womens casual wear slipon ballerinas - black,"Size:37,38,40,41",1449.0,869,40% ,Footwear-Women
Estatos,womens casual wear slip on ballerinas - black,"Size:36,37",1399.0,909,35% ,Footwear-Women
Estatos,womens casual wear buckle closure heels - burgundy,"Size:36,37,38,39,40,41",1599.0,799,50% ,Footwear-Women
Inc.5,tpr open back womens party heels - gunmetal,"Size:5,6,7",2490.0,1245,50% ,Footwear-Women
Shoetopia,suede womens casual sandals - black,"Size:37,39,41",999.0,899,10% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - black,Size:40,999.0,599,40% ,Footwear-Women
Shoetopia,synthetic womens casual slides - pink,"Size:36,37,38,39,41",0.0,499,Nan,Footwear-Women
Modare,polyurethane slipon womens casual flats - pink,"Size:36,37,38,39,40,41",0.0,3499,Nan,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - blue denim,"Size:36,37,38,39,40",3499.0,2449,30% ,Footwear-Women
Adidas,mesh lace up womens sports shoes - paprika,"Size:4,5,6,7",0.0,5599,Nan,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure flats - black,"Size:36,37,38,39,40",2999.0,1499,50% ,Footwear-Women
Modare,pu slip on round toe womens formal ballerinas - black,"Size:36,37,38,39,40",3999.0,2799,30% ,Footwear-Women
Inc.5,tpr open back womens party flats - gold,"Size:5,6,7,8,11",0.0,2490,Nan,Footwear-Women
Haute Curry,womens casual wear buckle closure heels - pink,"Size:36,37,38,39,40,41",1999.0,999,50% ,Footwear-Women
Clarks,leather slip on womens casual pumps - natural,"Size:4,5,6,7,8",0.0,5999,Nan,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - cream,"Size:38,40,41",2999.0,1499,50% ,Footwear-Women
Tresmode,221-barcel synthetic lace up womens sneakers - black,"Size:36,37,38,39,40",0.0,6990,Nan,Footwear-Women
Lazera Shoes,fabric slipon womens casual slides - blue,"Size:36,37,38,39,40,41",0.0,2195,Nan,Footwear-Women
Lemon & Pepper,womens casual buckle closure wedges - black,"Size:36,37,38,39,40",2999.0,1499,50% ,Footwear-Women
Ceriz,artificial leather womens casual ballerinas - tan,"Size:36,37,38,39",1999.0,999,50% ,Footwear-Women
Tresmode,221-abackstrap leather slipon womens casual flats - natural,"Size:36,37,38,39,40,41",0.0,3900,Nan,Footwear-Women
Monrow,polyurethane slipon womens party sandals - tan,"Size:36,37,38,39,40,41",2299.0,1310,43% ,Footwear-Women
Guess,womens casual wear slip on pump shoes - pink,"Size:7,9",6999.0,3499,50% ,Footwear-Women
Monrow,rubber buckle womens party sandals - black,"Size:36,37,38,39,40,41",2299.0,1149,50% ,Footwear-Women
Adidas,mesh lace up womens sports shoes - paprika,"Size:4,5,6,7",0.0,4599,Nan,Footwear-Women
Modare,womens pu slip-on wedges - navy,Size:40,2799.0,1399,50% ,Footwear-Women
Inc.5,synthetic slip on womens casual flats - gold,"Size:5,6,7,8,9,10,11,12",0.0,1890,Nan,Footwear-Women
Guess,womens casual wear slipon flats - pink,Size:5,2999.0,1499,50% ,Footwear-Women
Modare,pu slip on womens casual ballerinas - cream,"Size:36,37",3999.0,2799,30% ,Footwear-Women
Shoetopia,synthetic womens casual slides - blue,"Size:36,37,40,41",0.0,499,Nan,Footwear-Women
Modare,womens casual wear buckle closure flats - pink,Size:35,2299.0,1149,50% ,Footwear-Women
Ceriz,polyurethane pointed toe womens casual flats - lilac,"Size:35,36,37,38,39,40",1599.0,1119,30% ,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual sandals - off white,"Size:36,37,38,39",0.0,4499,Nan,Footwear-Women
Signature Sole,synthetic slipon womens casual sandals - black,"Size:35,37,38,39,40",2400.0,1560,35% ,Footwear-Women
Tresmode,221-tcross leather slipon womens casual flats - red,"Size:36,37,38,39,40,41",0.0,3200,Nan,Footwear-Women
W,polyurethane slipon womens casual wear flats - gold,Size:41,0.0,1049,Nan,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - black,"Size:36,37",1500.0,1125,25% ,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - white,"Size:36,37,38,39,40",2999.0,2099,30% ,Footwear-Women
Clarks,leather slip on womens casual sandals - natural,"Size:3,4,5,6,7,8",0.0,4499,Nan,Footwear-Women
Monrow,rubber slip on womens casual slides - white,"Size:37,38,39,41",0.0,1699,Nan,Footwear-Women
Lemon & Pepper,pu open back womens casual wedge heel sandals - orange,"Size:36,37,38,39,40",2799.0,1959,30% ,Footwear-Women
Ceriz,polyurethane open toe womens casual sandals - sage,"Size:35,36,37,38,39,40,41",2299.0,1609,30% ,Footwear-Women
Skechers,mesh lace up strapless womens casual shoes - black,"Size:6,7,8,9,10",4999.0,2999,40% ,Footwear-Women
Modare,pu slip on round toe womens formal ballerinas - camel,"Size:36,37,38,39",4499.0,3149,30% ,Footwear-Women
Tresmode,221-mila leather slipon womens casual sandals - grey,"Size:35,36,37,38,39,40",0.0,3000,Nan,Footwear-Women
Haute Curry,womens casual wear slip on wedges - gold,"Size:36,37,38,39,40",2199.0,1099,50% ,Footwear-Women
W,polyurethane slipon womens casual wear sandals - natural,"Size:35,37,38,39,40,41",0.0,2999,Nan,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual sandals - black,"Size:38,39,40",4499.0,3599,20% ,Footwear-Women
Clarks,leather slip on womens casual sandals - red,"Size:4,5,6,7,8",8999.0,5399,40% ,Footwear-Women
Adidas,synthetic slip on mens sports shoes - grey,"Size:4,5,6",0.0,5999,Nan,Footwear-Women
Monrow,rubber buckle womens party sandals - black,"Size:36,37,38,39,40",2599.0,1299,50% ,Footwear-Women
W,polyurethane slipon womens casual wear flats - natural,"Size:36,37,38,39,40,42",0.0,1799,Nan,Footwear-Women
Modare,pu slip on womens formal ballerinas - natural,Size:40,4999.0,3499,30% ,Footwear-Women
Modare,womens casual wear slip on heels - gold,Size:36,2499.0,1249,50% ,Footwear-Women
Signature Sole,synthetic slipon womens casual flats - sea green,"Size:37,38,39",1400.0,910,35% ,Footwear-Women
Monrow,womens non-leather buckle closure heels - dusty pink,"Size:36,37,38,39,40,41,42",2466.0,1183,52% ,Footwear-Women
Shoetopia,synthetic womens party sandals - pink,"Size:36,37,38,39,40,41",999.0,899,10% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - gold,"Size:35,36,37,38,39,40",1995.0,1495,25% ,Footwear-Women
Shoetopia,synthetic womens casual slides - grey,Size:41,0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual flats - pink,"Size:37,39",999.0,499,50% ,Footwear-Women
Vento,synthetic slip on womens casual flats - natural,"Size:4,5,6,7",0.0,999,Nan,Footwear-Women
Lemon & Pepper,suede closed back womens party heeled boots - black,Size:36,3999.0,3199,20% ,Footwear-Women
Flipside,womens yellow flowers rubber casual flip flops - grey,Size:7,0.0,399,Nan,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - turquoise,"Size:36,37,38,39",0.0,4499,Nan,Footwear-Women
Modare,pu slip on womens formal ballerinas - cream,Size:37,4999.0,3499,30% ,Footwear-Women
Ceriz,artificial leather round toe womens casual loafers - natural,Size:36,1999.0,999,50% ,Footwear-Women
Havaianas,rubber open back womens casual flip flops - black,Size:36,0.0,999,Nan,Footwear-Women
Shoetopia,suede womens casual sandals - black,"Size:36,39,40,41",999.0,899,10% ,Footwear-Women
Shoetopia,synthetic womens casual slides - pink,"Size:36,37,40,41",0.0,499,Nan,Footwear-Women
Catwalk,patent slip on womens occasion wear boots - black,"Size:4,5,6,7,8,9",4295.0,3436,20% ,Footwear-Women
Skechers,womens knit lifestyle sports shoes - lavender,"Size:6,9,10",5999.0,3599,40% ,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - green,"Size:36,37,38,39,40",2999.0,2399,20% ,Footwear-Women
Clarks,suede slip on womens casual sandals - red,"Size:3,4,5,6,7,8",0.0,4499,Nan,Footwear-Women
Catwalk,womens solid ankle bracelet sandals - brown,"Size:4,5,6,7,8",2095.0,1676,20% ,Footwear-Women
Ceriz,pu slip on womens casual loafers - grey,"Size:35,36,37,38,39,40",2199.0,1319,40% ,Footwear-Women
Tresmode,leather slip on womens casual loafers - tan,"Size:36,37,38,39",0.0,3900,Nan,Footwear-Women
Tresmode,221-abackstrap leather slipon womens casual flats - black,"Size:36,37,38,39,40,41",0.0,3900,Nan,Footwear-Women
Flipside,pvc thong lightweight womens casual flip flops - blue,"Size:4,5,6,7,8,9",0.0,599,Nan,Footwear-Women
Clarks,leather slip on womens casual sandals - pink,"Size:6,7,8",5499.0,4399,20% ,Footwear-Women
Modare,pu slip on womens casual ballerinas - wine,"Size:36,37,39,40",4999.0,3499,30% ,Footwear-Women
Adidas,supernova w fabric low tops lace up womens sport shoes - pink,"Size:4,5,6,7",0.0,9999,Nan,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - black,"Size:36,37,38,39,40",0.0,3799,Nan,Footwear-Women
Tresmode,leather slip on womens casual loafers - yellow,"Size:35,36,37,38,39,40",0.0,3900,Nan,Footwear-Women
Skechers,womens mesh slipon sports shoes - olive,Size:7,4999.0,2999,40% ,Footwear-Women
Modare,pu slip on womens casual flip flops - pink,"Size:36,37,38,39,40",2999.0,2099,30% ,Footwear-Women
Tresmode,221-barcel synthetic lace up womens sneakers - blue,"Size:36,37,38,39,40",0.0,6990,Nan,Footwear-Women
Signature Sole,synthetic slipon womens casual sandals - mustard,"Size:35,36,37,38,39,40",2400.0,1560,35% ,Footwear-Women
Vento,synthetic slip on womens casual flats - blue,"Size:4,5,6,7",0.0,999,Nan,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - natural,"Size:35,36,37,38,39",1500.0,1125,25% ,Footwear-Women
Tresmode,221-mil leather slipon womens casual sandals - pewter,"Size:36,37,38,39,40,41",0.0,2300,Nan,Footwear-Women
Reebok,textile lace up womens sports shoes - pink,"Size:6.5,7.5,8.5,9.5",4599.0,2299,50% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - pink,"Size:35,36,37,38,39",1500.0,1125,25% ,Footwear-Women
Catwalk,womens pure leather stitch detailed ballerinas - blue,"Size:4,5,6,7,8,9",1995.0,1596,20% ,Footwear-Women
Lemon & Pepper,womens casual wear slipon heels - cream,"Size:36,37,38,39,40,41",3499.0,1749,50% ,Footwear-Women
Estatos,womens casual wear zip closure flats - brown,"Size:36,38",1499.0,974,35% ,Footwear-Women
Monrow,polyurethane slipon womens casual sandals - metallic blue,Size:37,1899.0,1196,37% ,Footwear-Women
W,fabric buckle womens party wear sandals - black,"Size:40,42",0.0,3999,Nan,Footwear-Women
Haute Curry,womens casual wear slipon casual shoes - pewter,"Size:36,37",2499.0,1249,50% ,Footwear-Women
Tresmode,leather slip on womens casual loafers - green,"Size:36,37,38,39",0.0,3900,Nan,Footwear-Women
Shoetopia,synthetic womens casual slides - grey,"Size:36,37,38,39,40,41",0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual slides - black,"Size:36,37,39,41",699.0,499,29% ,Footwear-Women
Modare,pu slip on round toe womens casual ballerinas - natural,"Size:36,37,38,39",4999.0,3499,30% ,Footwear-Women
Adidas,mesh lace up womens sports shoes - white,"Size:4,5,6,7",0.0,6999,Nan,Footwear-Women
